Product ID;Nombre
47;Alimento Para Mascotas de Res Y Cerdo Dieta Barf - 1Kg
42;Alitas De Pollo - 1Kg
1;Bife De Chorizo De Res - 1Kg
27;Carne Molida De Cerdo - 1Kg
6;Carne Molida De Res - 1Kg
5;Carne Molida Para Hamburguesa De Res Y Cerdo - 1Kg
51;Chicharron De Cerdo - 170 gr
43;Chorizo De Pollo - 1Kg
28;Chorizo Finas Hierbas De Cerdo - 450gr
29;Chorizo Parrillero Cerdo - 450gr
30;Chuleta De Lomo De Cerdo - 1Kg
31;Chuleta De Pierna De Cerdo - 1Kg
33;Costilla Corte San Luis De Cerdo - 1Kg
32;Costilla Entera De Cerdo - 1Kg
34;Cuero De Cerdo De Cerdo - 1Kg
48;Higado De Res Brahman - 1Kg
49;Hueso Blanco De Res Brahman - 1Kg
9;Lomo De Falda De Res Brahman - 1Kg
35;Lomo Fino De Cerdo - 1Kg
10;Lomo Fino De Res - 1Kg
36;Longaniza Manabita Ahumada De Cerdo - 1Kg
37;Matambre Pietrain Cerdo - 1Kg
7;Carne Molida Sin Grasa De Res - 1Kg
50;Pata De Res Brahman - 1Kg
11;Patas De Res Brahman - 1Kg
44;Pechuga De Pollo - 1Kg
45;Pechuga Deshuesada De Pollo - 1Kg
12;Picaña De Res Brahman - 1Kg
23;Picaña de Res Brangus - 1Kg
41;Picaña De Cerdo - 1Kg
46;Piernas Y Postpiernas De Pollo - 1Kg
2;Pulpa De Res Brahman - 1Kg
4;Pulpa Corriente De Res Brahman - 1Kg
38;Pulpa De Cerdo - 1Kg
3;Pulpa Filete De Res - 1Kg
15;Rib Eye De Res - 1Kg
8;Riñon De Res Brahman - 1Kg
13;Salon De Res Brahman - 1Kg
24;T-Bone De Res - 1Kg
16;Tira De Asado De Res - 1Kg
39;Tocino Ahumado De Cerdo - 440g
26;Tomahawk De Res - 1Kg
40;Tomahawk De Cerdo - 1Kg
