Referencia;Variante;Valor variante;Referencia variante;Cantidad variante;Precio variante;Precio sin iva
polo-celeste-rib-pdt;TALLA:Select:0;XS:0;polo-celeste-rib-pdt_variante_1;2;39,95;35,66964286
polo-celeste-rib-pdt;TALLA:Select:0;S :0;polo-celeste-rib-pdt_variante_2;3;39,95;35,66964286
polo-celeste-rib-pdt;TALLA:Select:0;M:0;polo-celeste-rib-pdt_variante_3;3;39,95;35,66964286
polo-es-con-pdt;TALLA:Select:0;XS:0;polo-es-con-pdt_variante_1;2;39,95;35,66964286
polo-es-con-pdt;TALLA:Select:0;S :0;polo-es-con-pdt_variante_2;2;39,95;35,66964286
polo-es-con-pdt;TALLA:Select:0;M:0;polo-es-con-pdt_variante_3;2;39,95;35,66964286
polo-contraste-pdt;TALLA:Select:0;XS:0;polo-contraste-pdt_variantea_1;2;44,95;40,13392857
polo-contraste-pdt;TALLA:Select:0;S :0;polo-contraste-pdt_variantea_2;2;44,95;40,13392857
polo-contraste-pdt;TALLA:Select:0;M:0;polo-contraste-pdt_variantea_3;2;44,95;40,13392857
polo-bordado-espana-rojo-pdt;TALLA:Select:0;XS:0;polo-bordado-espana-rojo-pdt_variante_1;2;44,95;40,13392857
polo-bordado-espana-rojo-pdt;TALLA:Select:0;S:0;polo-bordado-espana-rojo-pdt_variante_2;2;44,95;40,13392857
polo-bordado-espana-rojo-pdt;TALLA:Select:0;M:0;polo-bordado-espana-rojo-pdt_variante_3;3;44,95;40,13392857
polo-capote-blanco-pdt;TALLA:Select:0;XS:0;polo-capote-blanco-pdt_variante_1;2;44,95;40,13392857
polo-capote-blanco-pdt;TALLA:Select:0;S :0;polo-capote-blanco-pdt_variante_2;2;44,95;40,13392857
polo-capote-blanco-pdt;TALLA:Select:0;M:0;polo-capote-blanco-pdt_variante_3;3;44,95;40,13392857
polo-capote-pdt;TALLA:Select:0;XS:0;polo-capote-pdt_variante_1;2;44,95;40,13392857
polo-capote-pdt;TALLA:Select:0;S :0;polo-capote-pdt_variante_2;2;44,95;40,13392857
polo-capote-pdt;TALLA:Select:0;M:0;polo-capote-pdt_variante_3;3;44,95;40,13392857
polo-bordada-blanco-pdt;TALLA:Select:0;XS:0;polo-bordada-blanco-pdt_variante_1;2;44,95;40,13392857
polo-bordada-blanco-pdt;TALLA:Select:0;S:0;polo-bordada-blanco-pdt_variante_2;3;44,95;40,13392857
polo-bordada-blanco-pdt;TALLA:Select:0;M:0;polo-bordada-blanco-pdt_variante_3;3;44,95;40,13392857
polo-bordado-rosa-pdt;TALLA:Select:0;XS:0;polo-bordado-rosa-pdt_variante_1;2;44,95;40,13392857
polo-bordado-rosa-pdt;TALLA:Select:0;S :0;polo-bordado-rosa-pdt_variante_2;3;44,95;40,13392857
polo-bordado-rosa-pdt;TALLA:Select:0;M:0;polo-bordado-rosa-pdt_variante_3;3;44,95;40,13392857
polo-cr-am-pdt;TALLA:Select:0;XS:0;polo-cr-am-pdt_variante_1;2;46,95;41,91964286
polo-cr-am-pdt;TALLA:Select:0;S :0;polo-cr-am-pdt_variante_2;2;46,95;41,91964286
polo-cr-am-pdt;TALLA:Select:0;M:0;polo-cr-am-pdt_variante_3;2;46,95;41,91964286
polo-artytr-pdt;TALLA:Select:0;XS:0;polo-artytr-pdt_variante_1;2;46,95;41,91964286
polo-artytr-pdt;TALLA:Select:0;S :0;polo-artytr-pdt_variante_2;2;46,95;41,91964286
polo-artytr-pdt;TALLA:Select:0;M:0;polo-artytr-pdt_variante_3;3;46,95;41,91964286
camisa-va-pdt;TALLA:Select:0;XS:0;camisa-va-pdt_variante_1;2;49,95;44,59821429
camisa-va-pdt;TALLA:Select:0;S :0;camisa-va-pdt_variante_2;3;49,95;44,59821429
camisa-va-pdt;TALLA:Select:0;M:0;camisa-va-pdt_variante_3;5;49,95;44,59821429
camisa-va-pdt;TALLA:Select:0;L:0;camisa-va-pdt_variante_4;3;49,95;44,59821429
camisa-rosa-pdt;TALLA:Select:0;XS:0;camisa-rosa-pdt_variante_1;2;49,95;44,59821429
camisa-rosa-pdt;TALLA:Select:0;S :0;camisa-rosa-pdt_variante_2;3;49,95;44,59821429
camisa-rosa-pdt;TALLA:Select:0;M:0;camisa-rosa-pdt_variante_3;5;49,95;44,59821429
camisa-rosa-pdt;TALLA:Select:0;L:0;camisa-rosa-pdt_variante_4;3;49,95;44,59821429
camisa-denim-pdt;TALLA:Select:0;XS:0;camisa-denim-pdt_variante_1;2;49,95;44,59821429
camisa-denim-pdt;TALLA:Select:0;S :0;camisa-denim-pdt_variante_2;3;49,95;44,59821429
camisa-denim-pdt;TALLA:Select:0;M:0;camisa-denim-pdt_variante_3;5;49,95;44,59821429
camisa-denim-pdt;TALLA:Select:0;L:0;camisa-denim-pdt_variante_4;3;49,95;44,59821429
camisa-blanca-esc-pdt;TALLA:Select:0;XS:0;camisa-blanca-esc-pdt_variante_1;2;54,95;49,0625
camisa-blanca-esc-pdt;TALLA:Select:0;S :0;camisa-blanca-esc-pdt_variante_2;8;54,95;49,0625
camisa-blanca-esc-pdt;TALLA:Select:0;M:0;camisa-blanca-esc-pdt_variante_3;8;54,95;49,0625
camisa-blanca-esc-pdt;TALLA:Select:0;L:0;camisa-blanca-esc-pdt_variante_4;6;54,95;49,0625
camisa-celeste-esc-pdt;TALLA:Select:0;XS:0;camisa-celeste-esc-pdt_variante_1;2;54,95;49,0625
camisa-celeste-esc-pdt;TALLA:Select:0;S :0;camisa-celeste-esc-pdt_variante_2;6;54,95;49,0625
camisa-celeste-esc-pdt;TALLA:Select:0;M:0;camisa-celeste-esc-pdt_variante_3;6;54,95;49,0625
camisa-celeste-esc-pdt;TALLA:Select:0;L:0;camisa-celeste-esc-pdt_variante_4;4;54,95;49,0625
