ID;Precio Incluido IVA
144; 3.71 
145; 53.26 
146; 0.41 
147; 0.27 
148; 0.3 
149; 0.33 
150; 0.36 
151; 10.67 
152; 7.8 
153; 13.33 
154; 5.05 
155; 0.56 
156; 0.89 
157; 8.2 
158; 1.34 
159; 57.63 
160; 4.03 
161; 22.53 
162; 37.21 
163; 46.11 
164; 65.09 
165; 12.68 
166; 13.03 
167; 14.77 
168; 18.35 
169; 29.32 
170; 28.44 
171; 34.02 
172; 6.19 
173; 15.86 
174; 13.08 
175; 25.49 
176; 27.21 
177; 33.3 
178; 67.39 
179; 41.95 
180; 73.52 
181; 49.95 
182; 85.17 
183; 51.83 
184; 155.13 
185; 114.84 
186; 22.72 
187; 11.04 
188; 4.89 
189; 12.85 
190; 9.98 
191; 17.67 
192; 21.45 
193; 25.32 
194; 33.41 
195; 11.59 
196; 11.36 
197; 13.64 
198; 18.19 
199; 79.77 
200; 17.73 
201; 11.97 
202; 30.83 
203; 6.34 
204; 12.47 
205; 32.27 
206; 7.16 
207; 13.5 
208; 20.13 
209; 128.22 
210; 4.36 
211; 19.35 
212; 11.79 
213; 12.2 
214; 13,00 
215; 10.16 
216; 16.09 
217; 18.79 
218; 14.24 
219; 21.45 
220; 16.27 
221; 16.94 
222; 21.4 
223; 20.33 
224; 26.01 
225; 23.73 
226; 32.62 
227; 58.14 
228; 44.92 
229; 70.69 
230; 42.89 
231; 193.13 
232; 67.97 
233; 104.47 
234; 110.65 
235; 218.61 
236; 110.61 
237; 8.42 
238; 6.01 
239; 9.83 
240; 43.82 
241; 37.36 
242; 56.92 
243; 43.82 
244; 20.55 
245; 24.67 
246; 17.3 
247; 1.31 
248; 10.65 
249; 5.42 
250; 19.55 
251; 5.98 
252; 14.96 
253; 4.51 
254; 23.56 
255; 7.02 
256; 24.92 
257; 7.12 
258; 14.15 
259; 4.37 
260; 5.06 
261; 17.37 
262; 16.9 
263; 4.82 
264; 5.17 
265; 20.49 
266; 123.53 
267; 92.67 
268; 27.31 
269; 87.51 
270; 20.49 
271; 20.49 
272; 22.02 
273; 8.11 
274; 108.96 
275; 5.22 
276; 20.49 
277; 123.53 
278; 22.02 
279; 22.02 
280; 99.62 
281; 20.49 
282; 123.55 
283; 123.55 
284; 123.53 
285; 6.23 
286; 20.49 
287; 27.31 
288; 123.53 
289; 20.49 
290; 20.49 
291; 27.31 
292; 17.53 
293; 20.49 
294; 27.31 
295; 5.06 
296; 6.23 
297; 27.31 
298; 17.58 
299; 17.31 
300; 6.23 
301; 123.55 
302; 20.49 
303; 20.49 
304; 20.49 
305; 6.52 
306; 10.17 
307; 14.66 
308; 19.73 
309; 17.67 
310; 15.87 
311; 17.16 
312; 26.23 
313; 32.47 
314; 29.77 
315; 44.77 
316; 46.52 
